Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
REPX,Riley Exploration Permian Inc. Common Stock,$36.38,1.40,4.002%,655622934.00,United States,,19119,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$14.66,2.68,22.371%,24749291.00,,2017,7405690,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$5.95,0.0001,0.002%,,,,45648,,
RLGT,Radiant Logistics Inc. Common Stock,$7.45,0.00,0.00%,373390081.00,United States,,105901,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$4.88,0.53,12.184%,24847218.00,,2018,37169269,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$10.07,-0.02,-0.198%,342421327.00,United States,,283800,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.39,0.05,0.197%,0.00,United States,2019,4210,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.11,0.03,0.591%,125543630.00,United States,2017,533211,Consumer Services,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$26.01,0.13,0.502%,0.00,United States,2019,483,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$26.05,0.02,0.077%,0.00,United States,2020,3712,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.8723,-0.0011,-0.126%,22472491.00,,2014,112459,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3758.95,-3.05,-0.081%,4363310222.00,United States,1996,348,,
SENS,Senseonics Holdings Inc. Common Stock,$2.91,0.86,41.951%,1245690090.00,United States,,219778529,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$10.10,-0.97,-8.762%,60490203.00,United States,,29528,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$9.75,0.23,2.416%,1408465149.00,,2018,618369,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$22.51,0.40,1.809%,3472388638.00,Mexico,1993,395,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$3.60,0.25,7.463%,588341340.00,,,414417,Basic Industries,Precious Metals
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.7529,-0.0324,-4.126%,42301971.00,United States,,675803,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$3.63,0.35,10.671%,25119792.00,United States,,2951067,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$7.80,0.10,1.299%,578088958.00,United States,,1149438,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$6.27,0.05,0.804%,1102781457.00,,,614915,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.4107,-0.0793,-0.934%,20845979.00,United States,,16366,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.5824,0.0074,1.287%,76901574.00,United States,,4822792,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$2.44,0.08,3.39%,690981219.00,Canada,,1079692,Basic Industries,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.07,-0.03,-2.727%,208551757.00,Canada,,44257,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$17.96,-0.24,-1.319%,209456327.00,,,769605,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.23,0.01,0.82%,45316945.00,United States,2015,920095,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$82.50,-0.04,-0.048%,1229665553.00,United States,,24054,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.99,0.15,5.282%,431435394.00,Canada,,307245,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$1.88,-0.08,-4.082%,61016468.00,,,56869,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$6.10,0.50,8.929%,23869636.00,United States,,472067,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.5056,0.0006,0.119%,128862553.00,Canada,,1516147,Basic Industries,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.9587,0.0667,7.478%,101639412.00,United States,,5217965,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$5.24,0.22,4.382%,361330100.00,United States,,5203817,,
UEC,Uranium Energy Corp. Common Stock,$3.31,0.14,4.416%,770602295.00,Canada,,3723122,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$3.40,-0.10,-2.857%,33249100.00,United States,2015,8281,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.53,0.09,6.25%,289765323.00,Canada,,1993933,Basic Industries,Other Metals and Minerals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$1.74,0.03,1.754%,231579125.00,,2017,1059668,Basic Industries,Precious Metals
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$35.01,0.02,0.057%,1949949869.00,United States,2004,167242,,
UUU,Universal Security Instruments Inc. Common Stock,$6.68,0.47,7.568%,15450085.00,United States,,394388,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$7.03,0.13,1.884%,1008353076.00,,,2421664,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.68,0.06,0.41%,71008628.00,United States,1993,2682,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.842,-0.028,-0.202%,62682708.00,United States,1993,11162,,
VGZ,Vista Gold Corp Common Stock,$1.19,0.01,0.847%,123937218.00,United States,,164567,Basic Industries,Precious Metals
VHAQ,Viveon Health Acquisition Corp. Common Stock,$9.94,0.00,0.00%,250053125.00,,2021,190,,
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$12.27,-0.01,-0.081%,544684331.00,United States,,58410,,
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.77,0.00,0.00%,158423506.00,United States,1993,8225,,
VNRX,VolitionRX Limited Common Stock,$3.38,-0.17,-4.789%,178777370.00,Singapore,2015,132627,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$3.74,0.09,2.466%,81294791.00,United States,,38909,Consumer Services,Movies/Entertainment
WLMS,Williams Industrial Services Group Inc. Common Stock,$5.35,0.29,5.731%,138543605.00,,2021,157699,Capital Goods,Oilfield Services/Equipment
WRN,Western Copper and Gold Corporation Common Stock,$2.51,0.01,0.40%,370491374.00,Canada,2011,537938,Basic Industries,Precious Metals
WTT,Wireless Telecom Group  Inc. Common Stock,$1.84,0.11,6.358%,39854985.00,United States,,105792,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$4.36,0.11,2.588%,140986333.00,United States,,1924262,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$6.81,-0.18,-2.575%,61775907.00,United States,,73594,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.7218,0.0118,1.662%,42174136.00,United States,,898125,,
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.68,0.09,5.66%,145668240.00,United States,,184283,Health Care,Medical Specialities
XXII,22nd Century Group Inc. Common Stock,$4.63,0.03,0.652%,705816475.00,United States,,1160848,Consumer Non-Durables,Farming/Seeds/Milling
YCBD,cbdMD Inc. Common Stock,$3.04,-0.05,-1.618%,173220918.00,United States,2017,134453,Health Care,Major Pharmaceuticals
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$8.68,0.00,0.00%,,United States,,1949,,
ZDGE,Zedge Inc. Class B Common Stock ,$14.44,0.31,2.194%,195397762.00,,2016,180619,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.9094,-0.059,-6.093%,886073966.00,United States,2017,62896814,,
